File,ML algorithm,accuracy,Precision,Recall,F1-score,Time
all_data,Naive Bayes,0.7839614659745049,0.6265268369598368,0.6400826431818191,0.6323781515731498,4.138001203536987
all_data,Naive Bayes,0.7839614659745049,0.6265268369598368,0.6400826431818191,0.6323781515731498,4.363038063049316
all_data,Naive Bayes,0.7839614659745049,0.6265268369598368,0.6400826431818191,0.6323781515731498,4.608999252319336
all_data,Naive Bayes,0.7839614659745049,0.6265268369598368,0.6400826431818191,0.6323781515731498,4.49437403678894
all_data,Naive Bayes,0.7839614659745049,0.6265268369598368,0.6400826431818191,0.6323781515731498,4.520579099655151
all_data,Naive Bayes,0.7839614659745049,0.6265268369598368,0.6400826431818191,0.6323781515731498,4.556999683380127
all_data,Naive Bayes,0.7839614659745049,0.6265268369598368,0.6400826431818191,0.6323781515731498,4.564172744750977
all_data,Naive Bayes,0.7839614659745049,0.6265268369598368,0.6400826431818191,0.6323781515731498,4.554999113082886
all_data,Naive Bayes,0.7839614659745049,0.6265268369598368,0.6400826431818191,0.6323781515731498,4.527000188827515
all_data,Naive Bayes,0.7839614659745049,0.6265268369598368,0.6400826431818191,0.6323781515731498,4.509000301361084
all_data,QDA,0.3103423303759258,0.5817925537690679,0.5755470013896821,0.3101739949426733,5.801999092102051
all_data,QDA,0.3103423303759258,0.5817925537690679,0.5755470013896821,0.3101739949426733,5.879815340042114
all_data,QDA,0.3103423303759258,0.5817925537690679,0.5755470013896821,0.3101739949426733,5.73527193069458
all_data,QDA,0.3103423303759258,0.5817925537690679,0.5755470013896821,0.3101739949426733,5.704000949859619
all_data,QDA,0.3103423303759258,0.5817925537690679,0.5755470013896821,0.3101739949426733,5.6850266456604
all_data,QDA,0.3103423303759258,0.5817925537690679,0.5755470013896821,0.3101739949426733,5.445000410079956
all_data,QDA,0.3103423303759258,0.5817925537690679,0.5755470013896821,0.3101739949426733,5.394511461257935
all_data,QDA,0.3103423303759258,0.5817925537690679,0.5755470013896821,0.3101739949426733,5.012040376663208
all_data,QDA,0.3103423303759258,0.5817925537690679,0.5755470013896821,0.3101739949426733,5.247999906539917
all_data,QDA,0.3103423303759258,0.5817925537690679,0.5755470013896821,0.3101739949426733,5.93000054359436
all_data,Random Forest,0.9392368440110289,0.9629931603044932,0.8201419889815029,0.8720292370207849,25.832000255584717
all_data,Random Forest,0.9461519847248693,0.9675592200418932,0.8403561891645386,0.8888018329773422,27.645665168762207
all_data,Random Forest,0.9456874427050123,0.966377062653418,0.8395457881635815,0.8878489993406656,24.86600160598755
all_data,Random Forest,0.9453165156169135,0.9668267033584967,0.8380281529596607,0.8868434658313246,24.522031784057617
all_data,Random Forest,0.9477045795364825,0.9685090630758573,0.8449369826434414,0.8924868302413902,23.096999645233154
all_data,Random Forest,0.945141649989667,0.9667981345986011,0.8374633972335821,0.8864105753813343,24.415000438690186
all_data,Random Forest,0.9469168010541394,0.967793271557454,0.8427599031368129,0.890661149137104,24.641594171524048
all_data,Random Forest,0.9462579638928974,0.9653748726199265,0.8420901290012097,0.8894442750454439,23.921000957489014
all_data,Random Forest,0.941020826672837,0.9641096534900016,0.8253974006349092,0.8764345413647724,24.66840147972107
all_data,Random Forest,0.947660421549804,0.9687115940090953,0.8446616090532832,0.8923439299555096,24.59000015258789
all_data,ID3,0.9508027038818403,0.9666489256999766,0.8565744742196324,0.9003457397610101,27.968281269073486
all_data,ID3,0.9508027038818403,0.9666489256999766,0.8565744742196324,0.9003457397610101,28.452243089675903
all_data,ID3,0.9508027038818403,0.9666489256999766,0.8565744742196324,0.9003457397610101,28.488999128341675
all_data,ID3,0.9508027038818403,0.9666489256999766,0.8565744742196324,0.9003457397610101,28.669001817703247
all_data,ID3,0.9508027038818403,0.9666489256999766,0.8565744742196324,0.9003457397610101,28.22999858856201
all_data,ID3,0.9508027038818403,0.9666489256999766,0.8565744742196324,0.9003457397610101,27.889002561569214
all_data,ID3,0.9508027038818403,0.9666489256999766,0.8565744742196324,0.9003457397610101,28.275999307632446
all_data,ID3,0.9508027038818403,0.9666489256999766,0.8565744742196324,0.9003457397610101,28.5819993019104
all_data,ID3,0.9508027038818403,0.9666489256999766,0.8565744742196324,0.9003457397610101,28.854999542236328
all_data,ID3,0.9508027038818403,0.9666489256999766,0.8565744742196324,0.9003457397610101,23.027010917663574
all_data,AdaBoost,0.9524383157084089,0.9524509077065896,0.8728845845252041,0.9066495710594233,359.22935461997986
all_data,AdaBoost,0.9524383157084089,0.9524509077065896,0.8728845845252041,0.9066495710594233,352.95237159729004
all_data,AdaBoost,0.9524383157084089,0.9524509077065896,0.8728845845252041,0.9066495710594233,372.6789791584015
all_data,AdaBoost,0.9524383157084089,0.9524509077065896,0.8728845845252041,0.9066495710594233,372.849755525589
all_data,AdaBoost,0.9524383157084089,0.9524509077065896,0.8728845845252041,0.9066495710594233,370.9237141609192
all_data,AdaBoost,0.9524383157084089,0.9524509077065896,0.8728845845252041,0.9066495710594233,375.4446597099304
all_data,AdaBoost,0.9524383157084089,0.9524509077065896,0.8728845845252041,0.9066495710594233,372.17304134368896
all_data,AdaBoost,0.9524383157084089,0.9524509077065896,0.8728845845252041,0.9066495710594233,369.78877329826355
all_data,AdaBoost,0.9524383157084089,0.9524509077065896,0.8728845845252041,0.9066495710594233,356.3939206600189
all_data,AdaBoost,0.9524383157084089,0.9524509077065896,0.8728845845252041,0.9066495710594233,335.5640001296997
